biz_name,biz_info,e_address,e_city,e_state,e_postal,e_country,loc_county,loc_FIPS,loc_MSA,loc_PMSA,loc_TZ,loc_DST,biz_phone,biz_email,web_url,img_url,c_type,c_years,c_setting,c_housing,c_pop,c_ratio,c_tuition,oos_tuition,rank,acceptance_rate,majors,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8
Alliant International University-Fresno,Postbaccalaureate certificate;Master's degree,5130 E Clinton Way,Fresno,CA,93727,USA,Fresno,6019,2840,,PST,Y,(559) 456-2777,,http://www.alliant.edu,,Private (Not For Profit),4 Years,City: Large,,,,,,,,,,,,,,,,
Alliant International University-Irvine,Postbaccalaureate certificate;Master's degree,2855 Michelle Dr #300,Irvine,CA,92606,USA,Orange,6059,,5945,PST,Y,(949) 812-7440,,http://www.alliant.edu,,Private (Not For Profit),4 Years,City: Large,,,,,,,,,,,,,,,,
Alliant International University-Los Angeles,Postbaccalaureate certificate;Master's degree,1000 S Fremont Ave #5,Alhambra,CA,91803,USA,Los Angeles,6037,,4480,PST,Y,(626) 284-2777,,http://www.alliant.edu,,Private (Not For Profit),4 Years,City: Large,,,,,,,,,,,,,,,,
Alliant International University-Sacramento,Postbaccalaureate certificate;Master's degree,2030 W El Camino Ave #200,Sacramento,CA,95833,USA,Sacramento,6067,,6920,PST,Y,(916) 565-2955,,http://www.alliant.edu,,Private (Not For Profit),4 Years,City: Large,,,,,,,,,,,,,,,,
Alliant International University-San Francisco,Postbaccalaureate certificate;Master's degree,1 Beach St #100,San Francisco,CA,94133,USA,San Francisco,6075,,7360,PST,Y,(415) 955-2100,,http://www.alliant.edu,,Private (Not For Profit),4 Years,City: Large,,,,,,,,,,,,,,,,
Alma College,Bachelor's degree,614 W Superior St,Alma,MI,48801,USA,Gratiot,26057,,,EST,Y,(989) 463-7111,,http://www.alma.edu,,Private (Not For Profit),4 Years,Town: Distant,1,1444,14 to 1,,,,,,,,,,,,,
Alvernia University,Associate's degree;Bachelor's degree;Master's degree,400 St Bernardine Street,Reading,PA,19607,USA,Berks,42011,6680,,EST,Y,(610) 796-8200,,http://www.alvernia.edu,,Private (Not For Profit),4 Years,City: Small,1,2856,14 to 1,,,,,,,,,,,,,
Alverno College,Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate,3400 S 43rd St,Milwaukee,WI,53215,USA,Milwaukee,55079,,5080,CST,Y,(414) 382-6000,,http://www.alverno.edu,,Private (Not For Profit),4 Years,City: Large,1,2815,13 to 1,,,,,,,,,,,,,
Amberton University,Bachelor's degree;Master's degree,1700 Eastgate Dr,Garland,TX,75041,USA,Dallas,48113,,1920,CST,Y,(972) 279-6511,,http://www.amberton.edu,,Private (Not For Profit),4 Years,Suburb: Large,0,1533,25 to 1,,,,,,"Some students have a background, identity, interest, or talent that is so meaningful they believe their application would be incomplete without it. If this sounds like you, then please share your story.","The lessons we take from failure can be fundamental to later success. Recount an incident or time when you experienced failure. How did it affect you, and what did you learn from the experience?",Reflect on a time when you challenged a belief or idea. What prompted you to act? Would you make the same decision again?,"Describe a problem you've solved or a problem you'd like to solve. It can be an intellectual challenge, a research query, an ethical dilemma - anything that is of personal importance, no matter the scale. Explain its significance to you and what steps you took or could be taken to identify a solution."," Discuss an accomplishment or event, formal or informal, that marked your transition from childhood to adulthood within your culture, community, or family.",,,
American Academy of Art,Bachelor's degree,332 S Michigan Ave,Chicago,IL,60604,USA,Cook,17031,,1600,CST,Y,(312) 461-0600,,http://www.aaart.edu,,Private (For Profit),4 Years,City: Large,0,400,11 to 1,,,,,,,,,,,,,
American Baptist College,One but less than two years certificate;Associate's degree;Bachelor's degree;Master's degree,1800 Baptist World Center Dr,Nashville,TN,37207,USA,Davidson,47037,5360,,CST,Y,(615) 256-1463,,http://www.abcnash.edu,,Private (Not For Profit),4 Years,City: Large,1,92,8 to 1,,,,,,,,,,,,,
American Baptist Seminary of the West,Master's degree;Post-master's certificate,2606 Dwight Way,Berkeley,CA,94704,USA,Alameda,6001,,5775,PST,Y,(510) 841-1905,,http://www.absw.edu,,Private (Not For Profit),4 Years,City: Midsize,1,64,,,,,,,,,,,,,,
American College,Master's degree,270 S Bryn Mawr Ave,Bryn Mawr,PA,19010,USA,Delaware,42045,,6160,EST,Y,(610) 526-1000,,http://www.theamericancollege.edu,,Private (Not For Profit),4 Years,Suburb: Large,0,378,,,,,,,,,,,,,,
American College of Education,Master's degree,20 N Wacker Dr #1776,Chicago,IL,60606,USA,Cook,17031,,1600,CST,Y,(312) 821-6300,,http://www.ace.edu,,Private (For Profit),4 Years,,0,,,,,,,,,,,,,,,
American Conservatory Theater,Less than one year certificate;Two but less than 4 years certificate;Master's degree,30 Grant Ave,San Francisco,CA,94108,USA,San Francisco,6075,,7360,PST,Y,(415) 834-3200,,http://www.act-sf.org,,Private (Not For Profit),4 Years,City: Large,0,35,,,,,,,,,,,,,,
American Film Institute Conservatory,Postbaccalaureate certificate;Master's degree,2021 N Western Ave,Los Angeles,CA,90068,USA,Los Angeles,6037,,4480,PST,Y,(323) 856-7600,,http://www.AFI.com,,Private (Not For Profit),4 Years,City: Large,0,338,,,,,,,,,,,,,,
American Indian College of the Assemblies of God Inc,Associate's degree;Bachelor's degree,10020 N 15th Ave,Phoenix,AZ,85021,USA,Maricopa,4013,6200,,MST,N,(602) 944-3335,,http://www.aicag.edu/,,Private (Not For Profit),4 Years,City: Large,1,86,8 to 1,,,,,,,,,,,,,
American InterContinental University,Associate's degree;Bachelor's degree,12655 W Jefferson Blvd,Los Angeles,CA,90066,USA,Los Angeles,6037,,4480,PST,Y,(310) 302-2000,,http://www.la.aiuniv.edu,,Private (For Profit),4 Years,City: Large,0,75,2 to 1,,,,,,,,,,,,,
American InterContinental University,Associate's degree;Bachelor's degree;Master's degree,2250 N Commerce Pkwy,Weston,FL,33326,USA,Broward,12011,,2680,EST,Y,(954) 446-6100,,http://www.aiufl.edu,,Private (For Profit),4 Years,Suburb: Large,0,904,26 to 1,,,,,,,,,,,,,
American InterContinental University,Associate's degree;Bachelor's degree;Master's degree,500 Embassy Row NE,Atlanta,GA,30328,USA,Fulton,13121,520,,EST,Y,(404) 965-6500,,http://www.atlanta.aiuniv.edu/about_aiu/,,Private (For Profit),4 Years,City: Small,0,2050,27 to 1,,,,,,,,,,,,,
American InterContinental University,Associate's degree;Bachelor's degree;Master's degree,9999 Richmond Ave,Houston,TX,77042,USA,Harris,48201,,3360,CST,Y,(832) 201-3600,,http://www.houston.aiuniv.edu,,Private (For Profit),4 Years,City: Large,0,514,26 to 1,,,,,,"Some students have a background, identity, interest, or talent that is so meaningful they believe their application would be incomplete without it. If this sounds like you, then please share your story.","The lessons we take from failure can be fundamental to later success. Recount an incident or time when you experienced failure. How did it affect you, and what did you learn from the experience?",Reflect on a time when you challenged a belief or idea. What prompted you to act? Would you make the same decision again?,"Describe a problem you've solved or a problem you'd like to solve. It can be an intellectual challenge, a research query, an ethical dilemma - anything that is of personal importance, no matter the scale. Explain its significance to you and what steps you took or could be taken to identify a solution."," Discuss an accomplishment or event, formal or informal, that marked your transition from childhood to adulthood within your culture, community, or family.",,,
American International College,Associate's degree;Bachelor's degree;Master's degree;Post-master's certificate,1000 State St,Springfield,MA,1109,USA,Hampden,25013,8000,,EST,Y,(413) 737-7000,,http://www.aic.edu,,Private (Not For Profit),4 Years,City: Midsize,1,3414,15 to 1,,,,,,,,,,,,,
American Jewish University,Bachelor's degree;Master's degree,15600 Mulholland Dr,Los Angeles,CA,90077,USA,Los Angeles,6037,,4480,PST,Y,(310) 476-9777,,http://www.ajula.edu,,Private (Not For Profit),4 Years,City: Large,1,251,5 to 1,,,,,,,,,,,,,
American Public University System,Less than one year certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree,111 W Congress St,Charles Town,WV,25414,USA,Jefferson,54037,,8840,EST,Y,(877) 468-6268,,http://www.apus.edu,,Private (For Profit),4 Years,Town: Fringe,0,31331,28 to 1,,,,,,,,,,,,,
American University,Less than one year certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree,4400 Massachusetts Ave NW,Washington D.C.,DC,20016,USA,District of Columbia,11001,,8840,EST,Y,(202) 885-1000,,http://www.WWW.AMERICAN.EDU,,Private (Not For Profit),4 Years,City: Large,1,12241,13 to 1,,,,,,,,,,,,,
American University of Puerto Rico,Associate's degree;Bachelor's degree;Master's degree,Carretera Estatal #2 Km.48.1,Manati,PR,674,USA,Manati,72091,,7440,EST+1,N,(787) 621-2835,,http://www.aupr.edu,,Private (Not For Profit),4 Years,Rural: Fringe,0,1455,24 to 1,,,,,,,,,,,,,
American University of Puerto Rico,Associate's degree;Bachelor's degree;Master's degree,"Carr. #2, Km.14.4, Bo. Hato Tejas",Bayamon,PR,960,USA,Bayamon,72021,,7440,EST+1,N,(787) 620-2040,,http://www.aupr.edu,,Private (Not For Profit),4 Years,Suburb: Large,0,1698,26 to 1,,,,,,,,,,,,,
Amherst College,Bachelor's degree,Boltwood Ave,Amherst,MA,1002,USA,Hampshire,25015,8000,,EST,Y,(413) 542-2000,,http://www.amherst.edu,,Private (Not For Profit),4 Years,Town: Fringe,1,1744,8 to 1,,,,,,,,,,,,,
Amridge University,Associate's degree;Bachelor's degree;Master's degree,1200 Taylor Rd,Montgomery,AL,36117,USA,Montgomery,1101,5240,,CST,Y,(334) 387-7000,anitacrosby@amridgeuniversity.edu,http://www.amridgeuniversity.edu,,Private (Not For Profit),4 Years,City: Midsize,0,757,10 to 1,,,,,,,,,,,,,
Anderson University,Associate's degree;Bachelor's degree;Master's degree,1100 E 5th St,Anderson,IN,46012,USA,Madison,18095,3480,,EST,N,(765) 649-9071,,http://www.anderson.edu,,Private (Not For Profit),4 Years,City: Small,1,2691,11 to 1,,,,,,,,,,,,,
Anderson University,Bachelor's degree;Master's degree,316 Boulevard,Anderson,SC,29621,USA,Anderson,45007,3160,,EST,Y,(864) 231-2000,,http://www.andersonuniversity.edu,,Private (Not For Profit),4 Years,City: Small,1,2279,18 to 1,,,,,,,,,,,,,
Andover Newton Theological School,Master's degree,210 Herrick Rd,Newton Centre,MA,2459,USA,Middlesex,25017,,1120,EST,Y,(617) 831-2435,,http://www.ants.edu,,Private (Not For Profit),4 Years,City: Small,1,301,,,,,,,,,,,,,,
Andrews University,Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate,W Campus Circle Dr,Berrien Springs,MI,49104,USA,Berrien,26021,870,,EST,Y,(800) 253-2874,,http://www.andrews.edu,,Private (Not For Profit),4 Years,Town: Fringe,1,3589,12 to 1,,,,,,,,,,,,,
Angelo State University,Associate's degree;Bachelor's degree;Master's degree,2601 W Ave N,San Angelo,TX,76901,USA,Tom Green,48451,7200,,CST,Y,(325) 942-2555,,http://www.angelo.edu,,Public,4 Years,City: Small,1,6387,18 to 1,,,,,,"Some students have a background, identity, interest, or talent that is so meaningful they believe their application would be incomplete without it. If this sounds like you, then please share your story.","The lessons we take from failure can be fundamental to later success. Recount an incident or time when you experienced failure. How did it affect you, and what did you learn from the experience?",Reflect on a time when you challenged a belief or idea. What prompted you to act? Would you make the same decision again?,"Describe a problem you've solved or a problem you'd like to solve. It can be an intellectual challenge, a research query, an ethical dilemma - anything that is of personal importance, no matter the scale. Explain its significance to you and what steps you took or could be taken to identify a solution."," Discuss an accomplishment or event, formal or informal, that marked your transition from childhood to adulthood within your culture, community, or family.",,,
Anna Maria College,Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate,50 Sunset Ln,Paxton,MA,1612,USA,Worcester,25027,,9240,EST,Y,(508) 849-3300,,http://www.annamaria.edu,,Private (Not For Profit),4 Years,Rural: Fringe,1,1589,12 to 1,,,,,,,,,,,,,
